client_id,birth_number,district_id,birth_year,birth_month,birth_day,gender,age,age_group,disp_id,account_id,num_dispo,card_id_x,card_type,issued,issue_year,issue_month,issue_day,lor_card,has_card_96,district_name,region,inhabitants,nmuni_5,nmuni_2k,nmuni_10k,nmuni_more_10k,ncities,ratio_urb_inhab,avg_sal,unemp_95,unemp_96,entrep,district_size,crime_rate_95,crime_rate_96,mean_amount,sum_amount,min_amount,max_amount,n_trans,rec_debit_m,rec_credit_m,rec_debit_d,rec_credit_d,credit_mean,debit_mean,debit_cash_mean,credit_sum,debit_sum,debit_cash_sum,others_sum,trans_household_sum,trans_insurance_sum,trans_interest_sum,trans_interest_cred_sum,trans_loan_sum,trans_others_sum,trans_pension_sum,trans_statement_sum,others_mean,trans_household_mean,trans_insurance_mean,trans_interest_mean,trans_interest_cred_mean,trans_loan_mean,trans_others_mean,trans_pension_mean,trans_statement_mean,balance,op_collect_other_bank_mean,op_credit_cash_mean,op_debit_card_mean,op_debit_cash_mean,op_remit_other_bank_mean,ntrans_banks,mean_amount_1,mean_amount_2,mean_amount_3,mean_amount_4,mean_amount_5,mean_amount_6,mean_amount_7,mean_amount_8,mean_amount_9,mean_amount_10,mean_amount_11,mean_amount_12,to_bank,frequency,open_year,open_month,open_day,lor,time_since_loan,loan_id,has_loan_97,card_issued_97
1,706213,18,1970,12,13,F,26,1,1,1,0.0,,,,,,,,0,Pisek,south Bohemia,70699,60,13,2,1,4,0.653,8968,0.028300000000000002,0.0335,131,Small,24.611380641876124,27.015940819530684,1427.637837837838,105645.20000000001,14.6,3700.0,74.0,0.0,0.0,0.0,0.0,1726.413793103448,1235.093333333333,0.0,50065.99999999999,55579.19999999999,0.0,75228.0,29424.0,0.0,0.0,818.0000000000001,0.0,0.0,0.0,175.19999999999996,1979.6842105263158,2452.0,0.0,0.0,68.16666666666667,0.0,0.0,0.0,14.599999999999996,15980.927027027032,3679.0,1020.0,0.0,792.5818181818181,2452.0,24.0,1006.6416666666668,1261.06,1282.26,1642.64,1461.4833333333333,1328.5166666666667,1368.0666666666666,1595.9,1584.88,1581.466666666667,1803.6,1680.8000000000002,1.0,monthly,1995,3,24,1,,,0,0
2,450204,1,1945,2,4,M,51,3,2,2,1.0,,,,,,,,0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,1.0,12541,0.0029,0.0043,167,Large,71.10401816502386,82.24968110789384,6624.907058823529,563117.1,14.6,30354.0,85.0,0.0,0.0,0.0,0.0,9949.755172413794,3962.1019607843145,14501.4,288542.9,202067.20000000004,72507.0,473775.0,87192.0,0.0,0.0,1974.9,0.0,0.0,0.0,175.19999999999996,9668.877551020409,7266.0,0.0,0.0,164.57500000000002,0.0,0.0,0.0,14.599999999999996,36604.402352941186,21922.333333333332,4700.0,0.0,4258.686363636364,7266.0,24.0,5771.67,6158.666666666667,6717.150000000001,8089.814285714286,6602.425,8033.25,7220.0875,5197.433333333333,7559.714285714285,5748.0,5272.642857142857,7154.7625,1.0,monthly,1993,2,26,3,1091.0,,0,0
8,385221,51,1938,2,21,F,58,3,8,6,0.0,,,,,,,,0,Trutnov,east Bohemia,121947,37,28,7,3,11,0.705,8541,0.025099999999999997,0.0297,131,Medium,28.66819191944041,31.480889238767663,2592.2365079365086,163310.90000000005,14.6,11600.0,63.0,0.0,0.0,0.0,0.0,3396.1541666666667,2097.517948717949,0.0,81507.7,81803.20000000001,0.0,34180.0,47448.0,0.0,0.0,1479.7000000000003,0.0,0.0,80028.0,175.19999999999996,2278.6666666666665,3954.0,0.0,0.0,123.30833333333335,0.0,0.0,6669.0,14.599999999999996,30651.373015873036,6669.0,0.0,0.0,1272.4148148148145,3954.0,24.0,1778.0833333333333,2805.48,2262.1400000000003,2455.46,2691.525,4469.3,2685.3,2688.225,2691.125,2490.96,2695.25,2625.25,1.0,monthly,1994,9,27,2,,,0,0
10,430501,57,1943,5,1,M,53,3,10,8,1.0,,,,,,,,0,Hodonin,south Moravia,161954,21,37,20,3,8,0.48,8720,0.0373,0.045,116,Large,23.02505649752399,22.543438260246738,7242.743999999998,543205.7999999998,14.6,30712.0,75.0,0.0,0.0,0.0,0.0,11198.883333333337,5381.0313725490205,0.0,268773.20000000007,274432.60000000003,0.0,444594.0,28732.0,0.0,0.0,2599.2,0.0,67120.0,0.0,160.59999999999997,14341.741935483871,2612.0,0.0,0.0,216.6,0.0,6712.0,0.0,14.599999999999996,51659.79066666665,0.0,22181.166666666668,0.0,5952.686666666667,4564.380952380952,21.0,12792.699999999999,7829.68,7458.366666666666,7073.183333333333,6340.383333333332,7388.022222222224,7120.45,6703.983333333334,6487.883333333332,7028.714285714285,6156.657142857142,7473.0,1.0,monthly,1995,9,21,1,,,0,0
12,810220,40,1981,2,20,M,15,1,12,9,0.0,,,,,,,,0,Teplice,north Bohemia,128118,9,16,6,3,8,0.853,9317,0.0649,0.0707,97,Medium,54.23906086576437,53.63805242042492,1565.8696969696973,103347.40000000002,14.6,23500.0,66.0,0.0,0.0,0.0,0.0,1025.792857142857,1963.8210526315793,0.0,28722.199999999997,74625.20000000001,0.0,101634.0,0.0,0.0,0.0,1538.1999999999998,0.0,0.0,0.0,175.19999999999996,2419.8571428571427,0.0,0.0,0.0,128.1833333333333,0.0,0.0,0.0,14.599999999999996,32454.58636363636,0.0,1699.0,0.0,1963.8210526315793,0.0,0.0,3895.933333333333,621.0,510.05999999999995,636.4,710.475,1215.46,788.2857142857143,702.12,427.47499999999997,572.62,3455.85,2008.5166666666667,0.0,monthly,1993,1,27,3,,,0,0
14,425622,76,1942,6,22,F,54,3,14,11,0.0,,,,,,,,0,Sumperk,north Moravia,127369,31,32,13,2,7,0.512,8369,0.0473,0.0588,107,Medium,29.332098077240147,22.03832957784076,1383.84693877551,67808.49999999999,14.6,3494.0,49.0,0.0,0.0,0.0,0.0,1788.9958333333327,994.904,0.0,42935.89999999999,24872.6,0.0,66640.0,0.0,0.0,0.0,1007.9000000000001,0.0,0.0,0.0,160.59999999999997,2563.076923076923,0.0,0.0,0.0,83.99166666666667,0.0,0.0,0.0,14.599999999999996,22850.185714285708,3494.0,0.0,0.0,101.47142857142856,2132.0,23.0,1754.9,1421.375,1427.4,1428.8500000000001,1430.3500000000001,1199.42,1433.0500000000002,1434.5500000000002,1436.0500000000002,1437.575,1271.0400000000002,1229.92,1.0,monthly,1995,10,10,1,,,0,0
20,790104,46,1979,1,4,M,17,1,20,15,0.0,,,,,,,,0,Nachod,east Bohemia,112709,48,20,7,3,10,0.735,8369,0.0179,0.0231,117,Medium,25.32184652512222,23.227958725567614,6177.9851351351335,457170.89999999985,14.6,25598.0,74.0,0.0,0.0,0.0,0.0,9324.654166666665,4667.584000000001,0.0,223791.69999999998,233379.20000000004,0.0,418186.0,36864.0,0.0,0.0,1945.6999999999998,0.0,0.0,0.0,175.19999999999996,11004.894736842105,3072.0,0.0,0.0,162.14166666666665,0.0,0.0,0.0,14.599999999999996,39431.260810810796,0.0,18487.166666666668,0.0,5171.452631578948,3072.0,12.0,4330.241666666667,5978.1,6361.3,6564.0599999999995,6464.339999999999,8937.683333333332,6704.6,6122.400000000001,5811.933333333333,5742.283333333333,6110.633333333332,6928.057142857143,1.0,monthly,1993,10,2,3,,,0,0
24,395729,43,1939,7,29,F,57,3,24,18,0.0,,,,,,,,0,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,0.763,9425,0.0172,0.025,125,Large,25.23879545763466,24.040184363685793,7691.971428571429,484594.2,30.0,46500.0,63.0,0.0,0.0,0.0,0.0,8237.179310344827,6237.391304347826,9296.0,238878.2,143460.0,102256.0,482900.0,0.0,0.0,0.0,1334.2,0.0,0.0,0.0,360.0,12382.051282051281,0.0,0.0,0.0,111.18333333333334,0.0,0.0,0.0,30.0,29799.517460317464,0.0,13973.176470588236,0.0,7226.941176470588,0.0,0.0,10907.65,8913.583333333334,4183.08,761.0666666666666,9433.522222222222,14667.6,8777.385714285714,6777.35,4426.34,5442.375,4568.525,4708.625,0.0,weekly,1993,5,26,3,,,0,0
25,395423,21,1939,4,23,F,57,3,25,19,0.0,,,,,,,,0,Tabor,south Bohemia,103347,87,16,7,1,7,0.67,9104,0.0151,0.0207,123,Medium,22.245444957279844,22.777632635683666,4978.81111111111,448092.9999999999,0.9,22708.0,90.0,0.0,0.0,0.0,0.0,4795.954347826087,5199.839534883723,3886.0,220613.9,223593.1000000001,3886.0,250592.0,182900.0,0.0,1.9,1807.8999999999999,12616.0,0.0,0.0,175.19999999999996,7159.771428571428,15241.666666666666,0.0,0.95,75.32916666666667,2523.2,0.0,0.0,14.599999999999996,20349.385555555556,16400.5,2200.0,0.0,5509.310256410257,2523.2,17.0,5969.544444444445,3261.7333333333336,4902.625,4507.55,3799.6124999999997,5510.825,6986.1625,3769.0499999999997,4694.471428571429,4947.028571428571,4489.314285714286,5951.562499999999,1.0,monthly,1995,4,7,1,246.0,,0,0
28,450929,1,1945,9,29,M,51,3,28,22,0.0,,,,,,,,0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,1.0,12541,0.0029,0.0043,167,Large,71.10401816502386,82.24968110789384,6325.988235294115,430167.19999999984,14.6,27600.0,68.0,0.0,0.0,0.0,0.0,8791.076923076922,4799.980952380954,0.0,228567.99999999997,201599.20000000004,0.0,351450.0,76224.0,0.0,0.0,2318.0,0.0,0.0,0.0,175.19999999999996,10982.8125,6352.0,0.0,0.0,193.16666666666666,0.0,0.0,0.0,14.599999999999996,43384.004411764705,0.0,16160.714285714286,0.0,4179.173333333335,6352.0,12.0,7381.816666666667,5078.66,6848.219999999999,4988.666666666667,5161.657142857142,8228.8125,5660.339999999999,5787.16,6210.179999999999,6212.82,7132.68,6555.316666666667,1.0,monthly,1994,3,23,2,,,0,0
